state	yr	qtr	index_nsa	index_sa	Warning
AL	1996	3	125.87	125.07	
AL	1996	4	126.76	126.42	
AL	1997	1	127.82	127.61	
AL	1997	2	128.39	127.56	
AL	1997	3	129.91	129.18	
AL	1997	4	129.74	129.45	
AL	1998	1	131.01	130.72	
AL	1998	2	132.98	132.09	
AL	1998	3	134.32	133.61	
AL	1998	4	135.67	135.41	
AL	1999	1	136.55	136.21	
AL	1999	2	138.20	137.23	
AL	1999	3	138.76	138.08	
AL	1999	4	139.87	139.61	
AL	2000	1	141.33	140.96	
AL	2000	2	142.68	141.68	
AL	2000	3	142.96	142.23	
AL	2000	4	143.04	142.78	
AL	2001	1	144.47	144.14	
AL	2001	2	146.49	145.48	
AL	2001	3	147.15	146.32	
AL	2001	4	147.63	147.37	
AL	2002	1	148.95	148.68	
AL	2002	2	150.73	149.72	
AL	2002	3	151.70	150.71	
AL	2002	4	153.51	153.27	
AL	2003	1	154.42	154.21	
AL	2003	2	156.92	155.89	
AL	2003	3	159.85	158.67	
AL	2003	4	159.37	159.14	
AL	2004	1	160.50	160.39	
AL	2004	2	163.94	162.81	
AL	2004	3	167.80	166.47	
AL	2004	4	168.66	168.45	
AL	2005	1	171.71	171.74	
AL	2005	2	175.62	174.30	
AL	2005	3	179.50	177.98	
AL	2005	4	182.93	182.83	
AL	2006	1	187.29	187.46	
AL	2006	2	192.56	190.95	
AL	2006	3	195.44	193.68	
AL	2006	4	196.62	196.62	
AL	2007	1	198.16	198.54	
AL	2007	2	202.77	200.93	
AL	2007	3	202.85	200.78	
AL	2007	4	200.88	201.04	
AL	2008	1	199.01	199.64	
AL	2008	2	199.55	197.66	
AL	2008	3	196.81	194.44	
AL	2008	4	192.09	192.42	
AL	2009	1	192.62	193.51	
AL	2009	2	193.98	192.00	
AL	2009	3	189.26	186.72	
AL	2009	4	193.98	194.48	
AL	2010	1	183.67	184.72	
AL	2010	2	183.96	181.96	
AL	2010	3	183.52	180.92	
AL	2010	4	175.22	175.73	
AL	2011	1	171.49	172.61	
AL	2011	2	173.34	171.35	
AL	2011	3	175.29	172.83	
AL	2011	4	172.13	172.56	
AL	2012	1	174.81	176.04	
AL	2012	2	180.97	178.79	
AL	2012	3	178.41	176.05	
AL	2012	4	179.22	179.52	
AL	2013	1	178.98	180.32	
AL	2013	2	184.68	182.35	
AL	2013	3	187.35	185.18	
AL	2013	4	185.39	185.42	
AL	2014	1	185.65	187.08	
AL	2014	2	189.05	186.65	
AL	2014	3	191.40	189.39	
AL	2014	4	194.59	194.38	
AL	2015	1	190.22	191.71	
AL	2015	2	199.18	196.70	
AL	2015	3	199.20	197.20	
AR	1991	1	100.00	100.00	
AR	1991	2	100.63	100.32	
AR	1991	3	101.85	101.53	
AR	1991	4	103.04	102.96	
AR	1992	1	102.91	102.92	
AR	1992	2	104.03	103.68	
AR	1992	3	105.13	104.81	
AR	1992	4	105.78	105.72	
AR	1993	1	107.56	107.57	
AR	1993	2	109.73	109.35	
AR	1993	3	111.77	111.46	
AR	1993	4	111.69	111.63	
AR	1994	1	115.37	115.36	
AR	1994	2	116.69	116.27	
AR	1994	3	117.16	116.84	
AR	1994	4	119.56	119.50	
AR	1995	1	119.25	119.26	
AR	1995	2	121.56	121.09	
AR	1995	3	123.29	122.95	
AR	1995	4	123.55	123.51	
AR	1996	1	124.47	124.49	
AR	1996	2	126.01	125.50	
AR	1996	3	125.57	125.22	
AR	1996	4	126.22	126.19	
AR	1997	1	127.38	127.42	
AR	1997	2	128.37	127.81	
AR	1997	3	128.73	128.37	
AR	1997	4	129.27	129.26	
AR	1998	1	129.78	129.83	
AR	1998	2	130.03	129.47	
AR	1998	3	132.78	132.37	
AR	1998	4	132.82	132.82	
AR	1999	1	134.04	134.11	
AR	1999	2	135.71	135.13	
AR	1999	3	136.56	136.11	
AR	1999	4	137.36	137.36	
AR	2000	1	137.39	137.48	
AR	2000	2	140.26	139.71	
AR	2000	3	140.63	140.10	
AR	2000	4	141.43	141.42	
AR	2001	1	143.05	143.17	
AR	2001	2	144.09	143.56	
AR	2001	3	146.06	145.46	
AR	2001	4	146.26	146.20	
AR	2002	1	147.45	147.66	
AR	2002	2	150.56	150.02	
AR	2002	3	151.80	151.12	
AR	2002	4	152.84	152.73	
AR	2003	1	154.72	155.07	
AR	2003	2	157.44	156.87	
AR	2003	3	160.86	160.06	
AR	2003	4	161.73	161.60	
AR	2004	1	164.76	165.21	
AR	2004	2	168.12	167.51	
AR	2004	3	171.01	170.09	
AR	2004	4	173.33	173.20	
AR	2005	1	175.41	175.95	
AR	2005	2	178.86	178.15	
AR	2005	3	182.73	181.74	
AR	2005	4	185.78	185.74	
AR	2006	1	187.19	187.68	
AR	2006	2	190.67	189.90	
AR	2006	3	192.62	191.61	
AR	2006	4	193.22	193.23	
AR	2007	1	192.30	192.74	
AR	2007	2	195.85	194.95	
AR	2007	3	196.04	195.10	
AR	2007	4	194.36	194.55	
AR	2008	1	190.16	190.40	
AR	2008	2	190.02	189.14	
AR	2008	3	189.59	188.66	
AR	2008	4	185.57	185.96	
AR	2009	1	184.35	184.46	
AR	2009	2	185.31	184.36	
AR	2009	3	185.43	184.49	
AR	2009	4	188.93	189.63	
AR	2010	1	178.38	178.28	
AR	2010	2	184.36	183.40	
AR	2010	3	178.74	177.76	
AR	2010	4	175.04	175.93	
AR	2011	1	178.51	178.27	
AR	2011	2	174.87	173.93	
AR	2011	3	177.30	176.28	
AR	2011	4	179.23	180.37	
AR	2012	1	179.48	179.08	
AR	2012	2	184.14	183.14	
AR	2012	3	183.31	182.23	
AR	2012	4	181.00	182.34	
AR	2013	1	189.13	188.55	
AR	2013	2	188.24	187.20	
AR	2013	3	189.94	188.80	
AR	2013	4	184.79	186.34	
AR	2014	1	190.10	189.36	
AR	2014	2	191.75	190.73	
AR	2014	3	193.61	192.37	
AR	2014	4	196.56	198.33	
AR	2015	1	191.63	190.85	
AR	2015	2	197.10	196.09	
AR	2015	3	200.68	199.26	
AZ	1991	1	100.00	100.00	
AZ	1991	2	100.41	100.34	
AZ	1991	3	99.19	99.34	
AZ	1991	4	101.97	101.40	
AZ	1992	1	102.12	102.15	
AZ	1992	2	101.47	101.40	
AZ	1992	3	102.59	102.69	
AZ	1992	4	103.65	103.11	
AZ	1993	1	104.03	104.09	
AZ	1993	2	105.30	105.21	
AZ	1993	3	106.64	106.62	
AZ	1993	4	109.07	108.61	
AZ	1994	1	109.78	109.88	
AZ	1994	2	112.41	112.28	
AZ	1994	3	113.91	113.75	
AZ	1994	4	116.17	115.83	
AZ	1995	1	117.16	117.33	
AZ	1995	2	118.54	118.33	
AZ	1995	3	120.72	120.40	
AZ	1995	4	121.51	121.34	
AZ	1996	1	123.06	123.26	
AZ	1996	2	124.76	124.46	
AZ	1996	3	126.04	125.59	
AZ	1996	4	126.14	126.13	
AZ	1997	1	127.18	127.39	
AZ	1997	2	129.21	128.82	
AZ	1997	3	130.42	129.92	
AZ	1997	4	131.08	131.18	
AZ	1998	1	132.20	132.39	
AZ	1998	2	135.34	134.88	
AZ	1998	3	137.38	136.90	
AZ	1998	4	138.41	138.53	
AZ	1999	1	140.62	140.81	
AZ	1999	2	143.16	142.61	
AZ	1999	3	145.53	145.13	
AZ	1999	4	147.01	147.08	
AZ	2000	1	149.23	149.42	
AZ	2000	2	151.87	151.28	
AZ	2000	3	153.20	152.87	
AZ	2000	4	155.70	155.69	
AZ	2001	1	157.81	157.99	
AZ	2001	2	161.11	160.51	
AZ	2001	3	162.74	162.41	
AZ	2001	4	165.76	165.69	
AZ	2002	1	166.73	167.00	
AZ	2002	2	170.22	169.60	
AZ	2002	3	172.94	172.48	
AZ	2002	4	176.44	176.43	
AZ	2003	1	179.46	179.84	
AZ	2003	2	183.67	182.96	
AZ	2003	3	187.47	186.76	
AZ	2003	4	192.79	192.97	
AZ	2004	1	198.72	199.26	
AZ	2004	2	206.70	205.83	
AZ	2004	3	217.46	216.26	
AZ	2004	4	228.65	229.28	
AZ	2005	1	244.15	244.90	
AZ	2005	2	269.91	268.59	
AZ	2005	3	291.52	289.45	
AZ	2005	4	302.73	304.20	
AZ	2006	1	314.29	315.33	
AZ	2006	2	320.97	319.15	
AZ	2006	3	317.27	314.61	
AZ	2006	4	318.90	321.05	
AZ	2007	1	318.19	319.29	
AZ	2007	2	315.71	313.60	
AZ	2007	3	309.56	306.79	
AZ	2007	4	289.17	291.51	
AZ	2008	1	276.29	277.17	
AZ	2008	2	263.42	261.62	
AZ	2008	3	244.83	242.52	
AZ	2008	4	223.49	225.43	
AZ	2009	1	215.76	216.45	
AZ	2009	2	204.05	202.66	
AZ	2009	3	201.55	199.57	
AZ	2009	4	195.66	197.37	
AZ	2010	1	190.89	191.53	
AZ	2010	2	188.22	187.02	
AZ	2010	3	181.15	179.37	
AZ	2010	4	170.21	171.49	
AZ	2011	1	167.08	167.76	
AZ	2011	2	163.69	162.68	
AZ	2011	3	165.46	163.91	
AZ	2011	4	166.57	167.63	
AZ	2012	1	173.26	174.00	
AZ	2012	2	184.97	183.94	
AZ	2012	3	195.49	193.76	
AZ	2012	4	199.22	200.20	
AZ	2013	1	204.26	205.22	
AZ	2013	2	218.29	217.13	
AZ	2013	3	224.55	222.66	
AZ	2013	4	230.42	231.36	
AZ	2014	1	232.37	233.47	
AZ	2014	2	236.28	235.05	
AZ	2014	3	239.02	237.17	
AZ	2014	4	240.39	241.18	
AZ	2015	1	245.76	247.01	
AZ	2015	2	252.55	251.17	
AZ	2015	3	258.80	256.93	
CA	1991	1	100.00	100.00	
CA	1991	2	99.64	99.23	
CA	1991	3	99.54	98.85	
CA	1991	4	99.69	99.22	
CA	1992	1	99.03	99.04	
CA	1992	2	98.01	97.61	
CA	1992	3	97.74	97.02	
CA	1992	4	95.95	95.54	
CA	1993	1	93.68	93.69	
CA	1993	2	92.96	92.57	
CA	1993	3	91.47	90.73	
CA	1993	4	90.25	89.94	
CA	1994	1	88.81	88.84	
CA	1994	2	88.56	88.15	
CA	1994	3	88.38	87.63	
CA	1994	4	86.97	86.76	
CA	1995	1	86.21	86.26	
CA	1995	2	86.06	85.58	
CA	1995	3	86.24	85.48	
CA	1995	4	85.18	85.06	
CA	1996	1	84.99	85.04	
CA	1996	2	85.14	84.59	
CA	1996	3	85.46	84.71	
CA	1996	4	85.25	85.21	
CA	1997	1	84.77	84.80	
CA	1997	2	86.90	86.27	
CA	1997	3	88.11	87.37	
CA	1997	4	88.93	88.93	
CA	1998	1	90.92	90.95	
CA	1998	2	94.42	93.66	
CA	1998	3	96.48	95.73	
CA	1998	4	98.07	98.07	
CA	1999	1	100.57	100.60	
CA	1999	2	103.80	102.94	
CA	1999	3	106.15	105.34	
CA	1999	4	108.34	108.34	
CA	2000	1	111.70	111.75	
CA	2000	2	116.10	115.15	
CA	2000	3	119.88	118.94	
CA	2000	4	123.84	123.80	
CA	2001	1	127.96	128.05	
CA	2001	2	132.52	131.51	
CA	2001	3	135.53	134.34	
CA	2001	4	138.06	138.00	
CA	2002	1	142.41	142.60	
CA	2002	2	149.85	148.79	
CA	2002	3	157.18	155.64	
CA	2002	4	161.76	161.69	
CA	2003	1	167.50	167.86	
CA	2003	2	175.05	173.82	
CA	2003	3	182.93	180.95	
CA	2003	4	191.70	191.69	
CA	2004	1	201.03	201.61	
CA	2004	2	215.55	213.94	
CA	2004	3	230.80	228.18	
CA	2004	4	240.00	240.04	
CA	2005	1	251.69	252.58	
CA	2005	2	267.41	265.31	
CA	2005	3	280.58	277.30	
CA	2005	4	284.00	284.03	
CA	2006	1	285.89	287.12	
CA	2006	2	287.52	285.17	
CA	2006	3	282.50	279.16	
CA	2006	4	274.21	274.07	
CA	2007	1	271.92	273.37	
CA	2007	2	269.08	266.82	
CA	2007	3	255.58	252.55	
CA	2007	4	234.98	234.66	
CA	2008	1	212.87	214.23	
CA	2008	2	196.04	194.39	
CA	2008	3	183.95	181.76	
CA	2008	4	172.00	171.60	
CA	2009	1	164.16	165.37	
CA	2009	2	164.64	163.27	
CA	2009	3	168.01	165.96	
CA	2009	4	168.63	168.14	
CA	2010	1	166.77	168.13	
CA	2010	2	168.43	167.03	
CA	2010	3	165.54	163.45	
CA	2010	4	160.53	160.10	
CA	2011	1	154.96	156.25	
CA	2011	2	154.66	153.31	
CA	2011	3	154.58	152.60	
CA	2011	4	153.43	153.16	
CA	2012	1	154.12	155.34	
CA	2012	2	161.94	160.45	
CA	2012	3	165.36	163.26	
CA	2012	4	171.44	171.32	
CA	2013	1	178.93	180.19	
CA	2013	2	192.18	190.36	
CA	2013	3	201.23	198.73	
CA	2013	4	203.88	203.90	
CA	2014	1	207.27	208.55	
CA	2014	2	213.84	211.80	
CA	2014	3	218.14	215.47	
CA	2014	4	219.79	219.91	
CA	2015	1	223.54	224.78	
CA	2015	2	230.24	228.04	
CA	2015	3	234.20	231.41	
CO	1991	1	100.00	100.00	
CO	1991	2	101.03	100.10	
CO	1991	3	102.31	101.14	
CO	1991	4	103.21	103.03	
CO	1992	1	105.38	105.39	
CO	1992	2	108.89	107.89	
CO	1992	3	111.06	109.78	
CO	1992	4	113.75	113.55	
CO	1993	1	115.70	115.74	
CO	1993	2	120.53	119.40	
CO	1993	3	125.19	123.75	
CO	1993	4	128.15	127.90	
CO	1994	1	132.00	132.06	
CO	1994	2	137.09	135.79	
CO	1994	3	139.88	138.28	
CO	1994	4	140.53	140.26	
CO	1995	1	141.98	142.04	
CO	1995	2	145.08	143.67	
CO	1995	3	147.83	146.19	
CO	1995	4	148.65	148.35	
CO	1996	1	150.11	150.14	
CO	1996	2	153.56	152.07	
CO	1996	3	155.19	153.53	
CO	1996	4	156.32	156.03	
CO	1997	1	157.40	157.35	
CO	1997	2	160.84	159.27	
CO	1997	3	162.88	161.20	
CO	1997	4	163.80	163.54	
CO	1998	1	166.30	166.14	
CO	1998	2	170.42	168.74	
CO	1998	3	173.39	171.65	
CO	1998	4	176.03	175.84	
CO	1999	1	180.01	179.73	
CO	1999	2	186.38	184.53	
CO	1999	3	192.49	190.59	
CO	1999	4	194.76	194.63	
CO	2000	1	200.67	200.29	
CO	2000	2	207.71	205.63	
CO	2000	3	213.74	211.62	
CO	2000	4	217.42	217.32	
CO	2001	1	224.15	223.76	
CO	2001	2	229.39	227.02	
CO	2001	3	231.15	228.83	
CO	2001	4	230.76	230.69	
CO	2002	1	234.53	234.24	
CO	2002	2	237.39	234.80	
CO	2002	3	240.03	237.59	
CO	2002	4	240.16	240.06	
CO	2003	1	240.81	240.74	
CO	2003	2	244.26	241.41	
CO	2003	3	245.46	242.96	
CO	2003	4	245.27	245.11	
CO	2004	1	247.22	247.46	
CO	2004	2	254.44	251.24	
CO	2004	3	256.48	253.83	
CO	2004	4	255.36	255.15	
CO	2005	1	259.42	260.09	
CO	2005	2	266.29	262.59	
CO	2005	3	268.50	265.60	
CO	2005	4	271.04	270.98	
CO	2006	1	271.22	272.26	
CO	2006	2	277.42	273.15	
CO	2006	3	277.50	274.34	
CO	2006	4	277.47	277.72	
CO	2007	1	276.66	278.00	
CO	2007	2	282.32	277.54	
CO	2007	3	280.45	277.14	
CO	2007	4	273.42	273.92	
CO	2008	1	268.59	270.11	
CO	2008	2	274.25	269.35	
CO	2008	3	269.21	265.77	
CO	2008	4	258.68	259.38	
CO	2009	1	262.58	264.46	
CO	2009	2	270.22	265.06	
CO	2009	3	269.20	265.54	
CO	2009	4	264.25	265.07	
CO	2010	1	264.52	266.83	
CO	2010	2	267.94	262.58	
CO	2010	3	261.51	257.72	
CO	2010	4	260.81	261.69	
CO	2011	1	252.63	255.18	
CO	2011	2	259.23	253.80	
CO	2011	3	261.48	257.71	
CO	2011	4	255.20	256.00	
CO	2012	1	255.39	258.12	
CO	2012	2	273.45	267.63	
CO	2012	3	277.52	273.57	
CO	2012	4	279.53	280.44	
CO	2013	1	281.68	284.57	
CO	2013	2	299.04	292.57	
CO	2013	3	304.57	300.55	
CO	2013	4	305.53	306.55	
CO	2014	1	310.25	313.01	
CO	2014	2	325.09	318.12	
CO	2014	3	327.09	323.09	
CO	2014	4	330.20	331.43	
CO	2015	1	346.47	348.93	
CO	2015	2	360.78	353.18	
CO	2015	3	368.09	363.98	
CT	1991	1	100.00	100.00	
CT	1991	2	97.81	98.01	
CT	1991	3	97.03	96.25	
CT	1991	4	96.48	95.81	
CT	1992	1	97.27	97.36	
CT	1992	2	95.17	95.34	
CT	1992	3	95.01	94.17	
CT	1992	4	95.98	95.34	
CT	1993	1	92.37	92.60	
CT	1993	2	91.63	91.71	
CT	1993	3	92.37	91.43	
CT	1993	4	91.95	91.41	
CT	1994	1	91.20	91.57	
CT	1994	2	91.93	91.85	
CT	1994	3	92.84	91.80	
CT	1994	4	91.86	91.47	
CT	1995	1	90.38	90.87	
CT	1995	2	90.69	90.41	
CT	1995	3	91.86	90.80	
CT	1995	4	91.02	90.79	
CT	1996	1	90.69	91.25	
CT	1996	2	91.94	91.43	
CT	1996	3	91.98	90.95	
CT	1996	4	90.90	90.78	
CT	1997	1	90.74	91.32	
CT	1997	2	92.73	92.07	
CT	1997	3	93.53	92.52	
CT	1997	4	93.42	93.35	
CT	1998	1	93.46	94.09	
CT	1998	2	96.37	95.59	
CT	1998	3	98.60	97.56	
CT	1998	4	99.70	99.66	
CT	1999	1	101.32	101.99	
CT	1999	2	104.66	103.82	
CT	1999	3	107.03	105.87	
CT	1999	4	108.23	108.18	
CT	2000	1	110.08	110.89	
CT	2000	2	114.60	113.67	
CT	2000	3	116.66	115.35	
CT	2000	4	118.09	117.97	
CT	2001	1	120.12	121.11	
CT	2001	2	124.94	124.00	
CT	2001	3	129.25	127.67	
CT	2001	4	130.56	130.33	
CT	2002	1	132.00	133.28	
CT	2002	2	138.65	137.60	
CT	2002	3	143.38	141.49	
CT	2002	4	146.77	146.54	
CT	2003	1	148.44	149.97	
CT	2003	2	153.73	152.56	
CT	2003	3	158.60	156.34	
CT	2003	4	160.26	160.24	
CT	2004	1	162.55	164.24	
CT	2004	2	171.12	169.59	
CT	2004	3	177.86	175.29	
CT	2004	4	178.84	179.21	
CT	2005	1	182.11	183.83	
